char_009_12fce	12F
char_4188_confes	CONFESS-47
char_286_cast3	Castle-3
char_4093_frston	Friston-3
char_285_medic2	Lancet-2
char_4198_christ	Miss.Christine
char_4179_monstr	Mon3tr
char_4136_phonor	PhonoR-0
char_376_therex	Thermal-EX
char_4091_ulika	U-Official
char_113_cqbw	W
char_4000_jnight	“正义骑士号”
char_4119_wanqin	万顷（禾生）
char_4184_dolris	三角初华
char_4182_oblvns	丰川祥子
char_148_nearl	临光
char_4224_turdus	乌啾
char_4145_ulpia	乌尔比安
char_455_nothin	乌有
char_4019_ncdeer	九色鹿
char_4165_ctrail	云迹
char_345_folnic	亚叶
char_4082_qiubai	仇白
char_2023_ling	令
char_4087_ines	伊内丝
char_355_ethan	伊桑
char_134_ifrit	伊芙利特
char_491_humus	休谟斯
char_4223_botany	伯塔尼（季申娜）
char_427_vigil	伺夜
char_4032_provs	但书（黛丝特）
char_2026_yu	余
char_4058_pepe	佩佩
char_4194_rmixer	信仰搅拌机
char_250_phatom	傀影
char_124_kroos	克洛丝
char_4186_tmoris	八幡海铃
char_4208_wintim	冬时（科谢尼娅）
char_4104_coldst	冰酿
char_115_headbr	凛冬
char_4102_threye	凛视
char_003_kalts	凯尔希
char_4162_cathy	凯瑟琳
char_174_slbell	初雪
char_494_vendla	刺玫
char_2013_cerber	刻俄柏
char_301_cutter	刻刀
char_4125_rdoc	医生
char_171_warfarin	华法琳
char_4051_akkord	协律（托妮娅）
char_214_kafka	卡夫卡
char_426_billro	卡涅利安
char_209_ardign	卡缇
char_328_cammou	卡达
char_4124_iana	双月
char_196_sunbr	古米
char_4228_closur	可露希尔
char_201_moeshd	可颂
char_350_surtr	史尔特尔
char_210_stward	史都华德
char_4039_horn	号角
char_4203_kichi	吉星
char_226_hmau	吽
char_297_hamoni	和弦
char_4114_harold	哈洛德
char_394_hadiya	哈蒂娅
char_4214_cairn	响石
char_187_ccheal	嘉维尔
char_365_aprl	四月
char_155_tiger	因陀罗
char_402_tuye	图耶
char_183_skgoat	地灵
char_260_durnar	坚雷
char_4043_erato	埃拉托
char_245_cello	塑心
char_202_demkni	塞雷娅
char_4031_liesel	复奏
char_492_quercu	夏栎
char_2015_dusk	夕
char_4048_doroth	多萝西
char_502_nblade	夜刀
char_476_blkngt	夜半
char_141_nights	夜烟
char_179_cgbird	夜莺
char_164_nightm	夜魔
char_166_skfire	天火
char_4213_skybx	天空盒
char_346_aosta	奥斯塔
char_4131_odda	奥达
char_4146_nymph	妮芙
char_4138_narant	娜仁图亚
char_4212_nasti	娜斯提
char_4014_lunacu	子月
char_272_strong	孑
char_158_milu	守林人
char_218_cuttle	安哲拉
char_211_adnach	安德切尔
char_302_glaze	安比尔
char_291_aglina	安洁莉娜（安心院安洁莉娜）
char_212_ansel	安赛尔
char_337_utage	宴
char_341_sntlla	寒檀
char_4052_surfer	寻澜
char_4126_fuze	导火索
char_4122_grabds	小满
char_4067_lolxh	小黑
char_264_f12yin	山
char_173_slchan	崖心
char_362_saga	嵯峨
char_503_rang	巡林者
char_4121_zuole	左乐
char_254_vodfox	巫恋
char_4004_pudd	布丁
char_356_broca	布洛卡
char_485_pallas	帕拉斯
char_2014_nian	年
char_143_ghost	幽灵鲨（劳伦缇娜）
char_472_pasngr	异客
char_1502_crosly	弑君者
char_4196_reckpr	录武官
char_275_breeze	微风（格蕾丝）
char_102_texas	德克萨斯
char_4026_vulpis	忍冬
char_306_leizi	惊蛰（麟青砚）
char_379_sesa	慑砂
char_185_frncat	慕斯
char_459_tachak	战车
char_4078_bdhkgt	截云
char_4110_delphn	戴菲恩
char_499_kaitou	折光
char_4207_branch	折桠
char_140_whitew	拉普兰德
char_325_bison	拜松
char_433_windft	掠风
char_112_siege	推进之王（维娜·维多利亚）
char_2012_typhon	提丰
char_4166_varkis	摆渡人
char_154_morgan	摩根
char_284_spot	斑点
char_4065_judge	斥罪
char_294_ayer	断崖
char_159_peacok	断罪者
char_263_skadi	斯卡蒂
char_197_poca	早露
char_4071_peper	明椒
char_274_astesi	星极
char_135_halo	星源
char_136_hsguma	星熊
char_497_ctable	晓歌
char_145_prove	普罗旺斯
char_236_rope	暗索
char_230_savage	暴行
char_304_zebra	暴雨
char_343_tknogi	月禾
char_283_midn	月见夜
char_2027_wang	望
char_117_myrrh	末药
char_509_acast	术髓
char_4105_almond	杏仁
char_130_doberm	杜宾
char_501_durin	杜林
char_347_jaksel	杰克
char_235_jesica	杰西卡
char_440_pinecn	松果
char_4199_makiri	松桐（森内彻）
char_422_aurora	极光
char_401_elysm	极境
char_4080_lin	林（林雨霞）
char_252_bibeak	柏喙
char_326_glacus	格劳克斯
char_220_grani	格拉尼
char_253_greyy	格雷伊
char_151_myrtle	桃金娘
char_473_mberry	桑葚（谷宁宁）
char_133_mm	梅
char_242_otter	梅尔
char_278_orchid	梓兰
char_293_thorns	棘刺
char_416_zumama	森蚺
char_4143_sensi	森西
char_243_waaifu	槐琥
char_474_glady	歌蕾蒂娅
char_4011_lessng	止颂
char_450_necras	死芒（爱布拉娜）
char_437_mizuki	水月
char_4177_brigid	水灯心（布莉吉）
char_281_popka	泡普卡
char_381_bubble	泡泡
char_487_bobb	波卜
char_258_podego	波登可
char_311_mudrok	泥岩
char_4077_palico	泰拉大陆调查团
char_464_cement	洋灰
char_4040_rockr	洛洛
char_4042_lumen	流明（乔迪）
char_126_shotst	流星
char_4066_highmo	海沫
